"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 28 16:11:59 CDT 2021","Tue Sep 28 16:12:19 CDT 2021","20169","","HEALTH CHECK: CME jlpv-cmeapp02 ","","HEALTH CHECK: CME jlpv-cmeapp02 ","Verify that the login page is redisplayed. ","Verify that the login page is redisplayed. ",""
"failed","Tue Sep 28 16:11:39 CDT 2021","Tue Sep 28 16:11:59 CDT 2021","20152","","HEALTH CHECK: CME jlpv-cmeapp01 ","","HEALTH CHECK: CME jlpv-cmeapp01 ","Verify the Bad Login dialog exists and click the OK button. ","Verify the Bad Login dialog exists and click the OK button. ",""
"broken","Tue Sep 28 16:11:19 CDT 2021","Tue Sep 28 16:11:39 CDT 2021","20250","","HEALTH CHECK: CME Load Balancer ","","HEALTH CHECK: CME Load Balancer ","Attempt Login to the CME application using invalid credentials (negative test). ","Attempt Login to the CME application using invalid credentials (negative test). ",""
"failed","Tue Sep 28 16:11:59 CDT 2021","Tue Sep 28 16:12:20 CDT 2021","20155","","HEALTH CHECK: CME jlpv-cmeapp01 ","","HEALTH CHECK: CME jlpv-cmeapp01 ","Verify that the login page is redisplayed. ","Verify that the login page is redisplayed. ",""
"failed","Tue Sep 28 16:11:39 CDT 2021","Tue Sep 28 16:11:59 CDT 2021","20178","","HEALTH CHECK: CME Load Balancer ","","HEALTH CHECK: CME Load Balancer ","Verify the Bad Login dialog exists and click the OK button. ","Verify the Bad Login dialog exists and click the OK button. ",""
"failed","Tue Sep 28 16:10:59 CDT 2021","Tue Sep 28 16:11:19 CDT 2021","20217","","HEALTH CHECK: CME jlpv-cmeapp04 ","","HEALTH CHECK: CME jlpv-cmeapp04 ","Verify that the CME login page has inputs for Username and Password. ","Verify that the CME login page has inputs for Username and Password. ",""
"failed","Tue Sep 28 16:10:58 CDT 2021","Tue Sep 28 16:11:19 CDT 2021","20842","","HEALTH CHECK: CME jlpv-cmeapp01 ","","HEALTH CHECK: CME jlpv-cmeapp01 ","Verify that the CME login page has inputs for Username and Password. ","Verify that the CME login page has inputs for Username and Password. ",""
"broken","Tue Sep 28 16:11:19 CDT 2021","Tue Sep 28 16:11:39 CDT 2021","20249","","HEALTH CHECK: CME jlpv-cmeapp04 ","","HEALTH CHECK: CME jlpv-cmeapp04 ","Attempt Login to the CME application using invalid credentials (negative test). ","Attempt Login to the CME application using invalid credentials (negative test). ",""
"broken","Tue Sep 28 16:10:55 CDT 2021","Tue Sep 28 16:10:58 CDT 2021","2936","","HEALTH CHECK: CME jlpv-cmeapp02 ","","HEALTH CHECK: CME jlpv-cmeapp02 ","Open the CME login page. ","Open the CME login page. ",""
"broken","Tue Sep 28 16:11:19 CDT 2021","Tue Sep 28 16:11:39 CDT 2021","20202","","HEALTH CHECK: CME jlpv-cmeapp02 ","","HEALTH CHECK: CME jlpv-cmeapp02 ","Attempt Login to the CME application using invalid credentials (negative test). ","Attempt Login to the CME application using invalid credentials (negative test). ",""
"failed","Tue Sep 28 16:11:39 CDT 2021","Tue Sep 28 16:11:59 CDT 2021","20152","","HEALTH CHECK: CME jlpv-cmeapp05 ","","HEALTH CHECK: CME jlpv-cmeapp05 ","Verify the Bad Login dialog exists and click the OK button. ","Verify the Bad Login dialog exists and click the OK button. ",""
"broken","Tue Sep 28 16:10:55 CDT 2021","Tue Sep 28 16:10:59 CDT 2021","3689","","HEALTH CHECK: CME jlpv-cmeapp04 ","","HEALTH CHECK: CME jlpv-cmeapp04 ","Open the CME login page. ","Open the CME login page. ",""
"broken","Tue Sep 28 16:10:55 CDT 2021","Tue Sep 28 16:10:58 CDT 2021","3011","","HEALTH CHECK: CME jlpv-cmeapp01 ","","HEALTH CHECK: CME jlpv-cmeapp01 ","Open the CME login page. ","Open the CME login page. ",""
"broken","Tue Sep 28 16:11:19 CDT 2021","Tue Sep 28 16:11:39 CDT 2021","20154","","HEALTH CHECK: CME jlpv-cmeapp01 ","","HEALTH CHECK: CME jlpv-cmeapp01 ","Attempt Login to the CME application using invalid credentials (negative test). ","Attempt Login to the CME application using invalid credentials (negative test). ",""
"broken","Tue Sep 28 16:10:55 CDT 2021","Tue Sep 28 16:10:58 CDT 2021","3454","","HEALTH CHECK: CME Load Balancer ","","HEALTH CHECK: CME Load Balancer ","Open the CME login page. ","Open the CME login page. ",""
"failed","Tue Sep 28 16:11:59 CDT 2021","Tue Sep 28 16:12:20 CDT 2021","20170","","HEALTH CHECK: CME jlpv-cmeapp04 ","","HEALTH CHECK: CME jlpv-cmeapp04 ","Verify that the login page is redisplayed. ","Verify that the login page is redisplayed. ",""
"failed","Tue Sep 28 16:10:58 CDT 2021","Tue Sep 28 16:11:19 CDT 2021","20767","","HEALTH CHECK: CME jlpv-cmeapp03 ","","HEALTH CHECK: CME jlpv-cmeapp03 ","Verify that the CME login page has inputs for Username and Password. ","Verify that the CME login page has inputs for Username and Password. ",""
"failed","Tue Sep 28 16:11:59 CDT 2021","Tue Sep 28 16:12:19 CDT 2021","20149","","HEALTH CHECK: CME jlpv-cmeapp05 ","","HEALTH CHECK: CME jlpv-cmeapp05 ","Verify that the login page is redisplayed. ","Verify that the login page is redisplayed. ",""
"broken","Tue Sep 28 16:10:55 CDT 2021","Tue Sep 28 16:10:58 CDT 2021","3788","","HEALTH CHECK: CME jlpv-cmeapp05 ","","HEALTH CHECK: CME jlpv-cmeapp05 ","Open the CME login page. ","Open the CME login page. ",""
"failed","Tue Sep 28 16:10:58 CDT 2021","Tue Sep 28 16:11:19 CDT 2021","20767","","HEALTH CHECK: CME jlpv-cmeapp02 ","","HEALTH CHECK: CME jlpv-cmeapp02 ","Verify that the CME login page has inputs for Username and Password. ","Verify that the CME login page has inputs for Username and Password. ",""
"failed","Tue Sep 28 16:11:39 CDT 2021","Tue Sep 28 16:11:59 CDT 2021","20176","","HEALTH CHECK: CME jlpv-cmeapp02 ","","HEALTH CHECK: CME jlpv-cmeapp02 ","Verify the Bad Login dialog exists and click the OK button. ","Verify the Bad Login dialog exists and click the OK button. ",""
"failed","Tue Sep 28 16:11:59 CDT 2021","Tue Sep 28 16:12:19 CDT 2021","20178","","HEALTH CHECK: CME Load Balancer ","","HEALTH CHECK: CME Load Balancer ","Verify that the login page is redisplayed. ","Verify that the login page is redisplayed. ",""
"broken","Tue Sep 28 16:11:19 CDT 2021","Tue Sep 28 16:11:39 CDT 2021","20204","","HEALTH CHECK: CME jlpv-cmeapp03 ","","HEALTH CHECK: CME jlpv-cmeapp03 ","Attempt Login to the CME application using invalid credentials (negative test). ","Attempt Login to the CME application using invalid credentials (negative test). ",""
"failed","Tue Sep 28 16:10:58 CDT 2021","Tue Sep 28 16:11:19 CDT 2021","20611","","HEALTH CHECK: CME jlpv-cmeapp05 ","","HEALTH CHECK: CME jlpv-cmeapp05 ","Verify that the CME login page has inputs for Username and Password. ","Verify that the CME login page has inputs for Username and Password. ",""
"broken","Tue Sep 28 16:11:19 CDT 2021","Tue Sep 28 16:11:39 CDT 2021","20208","","HEALTH CHECK: CME jlpv-cmeapp05 ","","HEALTH CHECK: CME jlpv-cmeapp05 ","Attempt Login to the CME application using invalid credentials (negative test). ","Attempt Login to the CME application using invalid credentials (negative test). ",""
"failed","Tue Sep 28 16:11:39 CDT 2021","Tue Sep 28 16:11:59 CDT 2021","20121","","HEALTH CHECK: CME jlpv-cmeapp04 ","","HEALTH CHECK: CME jlpv-cmeapp04 ","Verify the Bad Login dialog exists and click the OK button. ","Verify the Bad Login dialog exists and click the OK button. ",""
"failed","Tue Sep 28 16:10:58 CDT 2021","Tue Sep 28 16:11:19 CDT 2021","20774","","HEALTH CHECK: CME Load Balancer ","","HEALTH CHECK: CME Load Balancer ","Verify that the CME login page has inputs for Username and Password. ","Verify that the CME login page has inputs for Username and Password. ",""
"failed","Tue Sep 28 16:12:00 CDT 2021","Tue Sep 28 16:12:20 CDT 2021","20181","","HEALTH CHECK: CME jlpv-cmeapp03 ","","HEALTH CHECK: CME jlpv-cmeapp03 ","Verify that the login page is redisplayed. ","Verify that the login page is redisplayed. ",""
"broken","Tue Sep 28 16:10:55 CDT 2021","Tue Sep 28 16:10:58 CDT 2021","3752","","HEALTH CHECK: CME jlpv-cmeapp03 ","","HEALTH CHECK: CME jlpv-cmeapp03 ","Open the CME login page. ","Open the CME login page. ",""
"failed","Tue Sep 28 16:11:39 CDT 2021","Tue Sep 28 16:12:00 CDT 2021","20144","","HEALTH CHECK: CME jlpv-cmeapp03 ","","HEALTH CHECK: CME jlpv-cmeapp03 ","Verify the Bad Login dialog exists and click the OK button. ","Verify the Bad Login dialog exists and click the OK button. ",""
